food,description,source
broccoli,"Broccoli, raw","https://fdc.nal.usda.gov/fdc-app.html#/food-details/170379/nutrients"
brussels,"Brussels sprouts, raw","https://fdc.nal.usda.gov/fdc-app.html#/food-details/170383/nutrients"
cabbage,"Cabbage, raw","https://fdc.nal.usda.gov/fdc-app.html#/food-details/169975/nutrients"
carrot,"Carrots, baby, raw","https://fdc.nal.usda.gov/fdc-app.html#/food-details/2258587/nutrients"
cauliflower,"Cauliflower, raw","https://fdc.nal.usda.gov/fdc-app.html#/food-details/169986/nutrients"
celery,"Celery, raw","https://fdc.nal.usda.gov/fdc-app.html#/food-details/169988/nutrients"
chicken,"Blazing Buffalo Style Roasted Chicken Breast","https://boarshead.com/products/detail/440-blazing-buffalo-style-roasted-chicken-breast"
cucumber,"Cucumber, with peel, raw","https://fdc.nal.usda.gov/fdc-app.html#/food-details/168409/nutrients"
eggwhite,"Egg whites","label"
endive,"Endive","https://fdc.nal.usda.gov/fdc-app.html#/food-details/168412/nutrients"
enoki,"Mushroom, enoki","https://fdc.nal.usda.gov/fdc-app.html#/food-details/2003600/nutrients"
lettuce,"Lettuce, romaine, green, raw","https://fdc.nal.usda.gov/fdc-app.html#/food-details/2346389/nutrients"
mushroom,"Mushrooms, white, raw","https://fdc.nal.usda.gov/fdc-app.html#/food-details/169251/nutrients"
oil,"Oil, olive, salad or cooking","https://fdc.nal.usda.gov/fdc-app.html#/food-details/171413/nutrients"
onion,"Red Onion","https://www.nutritionix.com/food/red-onion"
pepper,"Peppers, sweet, green, raw","https://fdc.nal.usda.gov/fdc-app.html#/food-details/170427/nutrients"
popcorn,"Popcorn","label"
popcorn_usda,"Snacks, popcorn, air-popped","https://fdc.nal.usda.gov/fdc-app.html#/food-details/167959/nutrients"
potato,"Potatoes, russet, flesh and skin, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/170027/nutrients
spinach,"Spinach, raw","https://fdc.nal.usda.gov/fdc-app.html#/food-details/168462/nutrients"
thigh,"Chicken, thigh, boneless, skinless, raw","https://fdc.nal.usda.gov/fdc-app.html#/food-details/2646171/nutrients"
tomato,"Tomato, roma","https://fdc.nal.usda.gov/fdc-app.html#/food-details/1999634/nutrients"
turkey,"Deli Sliced Turkey","https://www.nutritionix.com/food/deli-sliced-turkey"
veg,"Mixed vegetables","rough average of squash, mushrooms, and asparagus"
whiskey,"Whisky","Google"
